ts,rpm,coolant_c,oil_c,iat_c,ign_deg_kw,maf_kgph,vbatt_v,load_pct,thr_raw,thr2_raw,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
1768683061.187,850,88.0,100.0,30.0,12.0,29.0,12.6,35.2,18,16,0,0,0,3,82,0,18,16,1,34,0,181,185,0,160,0,0,0,0,89,0,0,104,126,0,0,0,0,0,0,0,0
1768683061.287,891,88.1,100.2,30.1,12.3,29.8,12.6,35.7,19,17,0,0,0,3,123,0,19,17,1,42,0,181,186,0,159,0,0,0,0,91,0,0,104,126,0,0,0,0,0,0,0,0
1768683061.387,932,88.3,100.4,30.3,12.7,30.6,12.6,36.2,20,18,0,0,0,3,164,0,20,18,1,50,0,181,186,0,158,0,0,0,0,92,0,0,104,126,0,0,0,0,0,0,0,0
1768683061.487,972,88.4,100.6,30.4,13.0,31.4,12.6,36.7,21,19,0,0,0,3,204,0,21,19,1,58,0,181,186,0,157,0,0,0,0,93,0,0,104,126,0,0,0,0,0,0,0,0
1768683061.587,1011,88.5,100.9,30.6,13.3,32.2,12.6,37.1,22,20,0,0,0,3,243,0,22,20,1,66,0,182,186,0,156,0,0,0,0,94,0,0,104,126,0,0,0,0,0,0,0,0
1768683061.687,1048,88.7,101.1,30.7,13.6,33.0,12.6,37.6,23,21,0,0,0,4,24,0,23,21,1,73,0,182,187,0,155,0,0,0,0,95,0,0,104,126,0,0,0,0,0,0,0,0
1768683061.787,1083,88.8,101.3,30.9,13.9,33.7,12.6,38.0,24,22,0,0,0,4,59,0,24,22,1,80,0,182,187,0,155,0,0,0,0,96,0,0,105,126,0,0,0,0,0,0,0,0
1768683061.887,1116,88.9,101.5,31.0,14.1,34.3,12.6,38.4,25,23,0,0,0,4,92,0,25,23,1,87,0,182,187,0,154,0,0,0,0,97,0,0,105,126,0,0,0,0,0,0,0,0
1768683061.987,1146,89.1,101.7,31.2,14.3,34.9,12.6,38.8,26,24,0,0,0,4,122,0,26,24,1,93,0,182,188,0,153,0,0,0,0,98,0,0,105,126,0,0,0,0,0,0,0,0
1768683062.087,1173,89.2,101.9,31.3,14.5,35.5,12.6,39.1,27,25,0,0,0,4,149,0,27,25,1,98,0,182,188,0,153,0,0,0,0,99,0,0,105,126,0,0,0,0,0,0,0,0
