ts,rpm,status,len,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,raw_hex
1768320708.440,0,0xA0,38,112,137,117,104,176,0,0,25,164,135,22,12 26 a0 00 00 00 00 00 00 00 70 89 75 68 b0 00 00 19 a4 87 16 a0 78 72 80 00 80 00 00 00 00 00 00 00 07 07 00 46
1768320708.698,0,0xA0,38,112,137,117,104,176,0,0,25,164,135,22,12 26 a0 00 00 00 00 00 00 00 70 89 75 68 b0 00 00 19 a4 87 16 a0 78 72 80 00 80 00 00 00 00 00 00 00 07 07 00 46
1768320708.959,0,0xA0,38,112,137,117,104,176,0,0,25,164,135,22,12 26 a0 00 00 00 00 00 00 00 70 89 75 68 b0 00 00 19 a4 87 16 a0 78 72 80 00 80 00 00 00 00 00 00 00 07 07 00 46
1768320709.214,0,0xA0,38,112,137,117,104,176,0,0,25,164,134,157,12 26 a0 00 00 00 00 00 00 00 70 89 75 68 b0 00 00 19 a4 86 9d a0 78 72 80 00 80 00 00 00 00 00 00 00 07 07 00 cc
1768320709.467,0,0xA0,38,112,137,117,104,176,0,0,25,164,135,22,12 26 a0 00 00 00 00 00 00 00 70 89 75 68 b0 00 00 19 a4 87 16 a0 78 72 80 00 80 00 00 00 00 00 00 00 07 07 00 46
1768320709.725,0,0xA0,38,112,137,117,104,176,0,0,24,234,135,22,12 26 a0 00 00 00 00 00 00 00 70 89 75 68 b0 00 00 18 ea 87 16 a0 78 73 80 00 80 00 00 00 00 00 00 00 07 07 00 08
1768320709.983,0,0xA0,38,112,137,117,104,176,0,0,25,164,135,22,12 26 a0 00 00 00 00 00 00 00 70 89 75 68 b0 00 00 19 a4 87 16 a0 78 73 80 00 80 00 00 00 00 00 00 00 07 07 00 47
1768320710.255,0,0xA0,38,112,137,117,104,176,0,0,25,164,134,157,12 26 a0 00 00 00 00 00 00 00 70 89 75 68 b0 00 00 19 a4 86 9d a0 78 73 80 00 80 00 00 00 00 00 00 00 07 07 00 cd
1768320710.515,0,0xA0,38,112,137,117,104,176,0,0,24,234,136,34,12 26 a0 00 00 00 00 00 00 00 70 89 75 68 b0 00 00 18 ea 88 22 a0 78 70 80 00 80 00 00 00 00 00 00 00 07 07 00 30
1768320710.834,150,0xA0,38,112,137,117,104,191,15,101,25,164,224,111,12 26 a0 00 96 00 00 02 00 7a 70 89 75 68 bf 0f 65 19 a4 e0 6f a0 78 60 80 00 80 00 00 00 00 00 d0 36 07 06 00 26
