ts,rpm,t_raw_a,t_oil_a_c,t_cool_a_c,t_raw_b,t_oil_b_c,t_cool_b_c,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
1768321475.8838055,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,6,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321476.243388,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321476.5243886,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321476.895348,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,115,128,0,128,0,0,0,0,0
1768321477.197697,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321477.4834406,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321477.7717762,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,6,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321478.059657,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,115,128,0,128,0,0,0,0,0
1768321478.3477006,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321478.635589,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321478.987364,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321479.275359,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321479.6290061,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321479.9151802,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321480.2687347,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321480.55556,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321480.9072716,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321481.1947026,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321481.5479276,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321481.836759,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321482.1886468,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321482.4746597,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321482.8263652,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,232,160,120,115,128,0,128,0,0,0,0,0
1768321483.1152103,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321483.4670615,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321483.755745,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321484.1083567,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321484.3947928,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321484.7472317,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321485.0340605,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321485.3873558,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321485.6739388,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321486.0273857,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321486.313486,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321486.6158693,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,115,128,0,128,0,0,0,0,0
1768321486.90547,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321487.1945212,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321487.5470533,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321487.8988092,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,115,128,0,128,0,0,0,0,0
1768321488.1850016,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321488.5364535,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,114,128,0,128,0,0,0,0,0
1768321488.824933,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321489.1772807,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,115,128,0,128,0,0,0,0,0
1768321489.4648395,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321489.8169272,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,115,128,0,128,0,0,0,0,0
1768321490.1046364,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321490.45607,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,115,128,0,128,0,0,0,0,0
1768321490.76454,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,6,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321491.0963619,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,115,128,0,128,0,0,0,0,0
1768321491.3843825,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321491.7417302,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,97,160,120,115,128,0,128,0,0,0,0,0
1768321492.0243516,0,117,45.1,39.8,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,117,143,124,108,176,0,0,24,186,133,201,160,120,115,128,0,128,0,0,0,0,0
1768321492.3804493,0,118,45.9,40.5,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,118,143,124,108,176,0,0,24,186,133,114,160,120,115,128,0,128,0,0,0,0,0
1768321492.664211,0,118,45.9,40.5,124,50.7,45.0,18,38,160,0,0,0,0,0,0,0,118,143,124,108,176,0,0,24,186,133,236,160,120,115,128,0,128,0,0,0,0,0
