ts,rpm,speed_kmh,vbatt_v,load_raw,thr_raw6,thr_raw7,t_raw_a,t_oil_a_c,t_cool_a_c,t_raw_b,t_oil_b_c,t_cool_b_c,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
1768393458.422526,1175,21.5,13.6,168,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,128,38,25,0,0,215,88,141,122,106,144,4,151,1,56,168,211,126,76,136,95,102,128,0,254,128,0,0
1768393458.612959,1187,21.3,13.6,168,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,134,38,25,0,0,213,88,141,122,106,143,4,163,1,56,168,123,126,77,136,98,135,128,0,254,128,0,0
1768393458.8297422,1197,21.3,13.6,168,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,131,38,25,0,0,213,88,141,122,106,143,4,173,1,56,168,153,125,78,136,102,23,128,0,254,128,0,0
1768393459.0133855,1203,21.3,13.6,168,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,138,38,25,0,0,213,88,141,122,106,143,4,179,1,56,168,80,125,78,136,105,71,128,0,254,128,0,0
1768393459.2045577,1207,21.4,13.6,168,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,145,38,25,0,0,214,88,141,122,106,143,4,183,1,56,168,22,126,76,136,108,101,128,0,254,128,0,0
1768393459.3975492,1214,21.1,13.6,167,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,146,38,25,0,0,211,88,141,122,106,143,4,190,1,56,167,249,126,76,136,111,137,128,0,254,128,0,0
1768393459.5891058,1212,21.5,13.6,167,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,148,38,25,0,0,215,88,141,122,106,143,4,188,1,56,167,229,125,77,136,112,136,128,0,254,128,0,0
1768393459.7799766,1200,21.3,13.6,167,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,156,38,25,0,0,213,88,141,122,106,143,4,176,1,56,167,227,125,78,136,112,136,128,0,254,128,0,0
1768393459.9719868,1206,21.5,13.6,168,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,163,38,25,0,0,215,88,141,122,106,142,4,182,1,56,168,242,125,77,136,112,136,128,0,254,128,0,0
1768393460.1637564,1199,21.3,13.6,168,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,165,39,25,0,0,213,88,141,122,106,142,4,175,1,56,168,201,126,76,136,112,136,128,0,254,128,0,0
1768393460.3613386,1158,21.5,13.6,168,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,181,39,25,0,0,215,88,141,122,106,142,4,134,1,56,168,101,126,76,136,105,76,128,0,254,128,0,0
1768393460.6138482,1133,21.5,13.6,168,25,0,88,22.1,18.0,122,49.1,43.5,18,38,160,5,175,39,25,0,0,215,88,141,122,106,142,4,109,1,56,168,71,126,77,136,100,231,128,0,254,128,0,0
