ts,rpm,maf_kgph,vbatt_v,load_raw,load_pct_approx,throttle_raw,throttle2_raw,t_raw_a,t_oil_a_c,t_cool_a_c,t_raw_b,t_oil_b_c,t_cool_b_c,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
1768403029.3112876,886,10.8,13.4,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,124,0,0,0,0,108,82,112,89,78,197,3,118,240,96,115,212,143,107,134,109,61,128,0,254,128,0,0
1768403029.4649723,887,10.8,13.4,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,122,0,0,0,0,108,82,112,89,79,197,3,119,240,90,115,169,142,109,134,109,151,128,0,254,128,0,0
1768403029.5827389,888,10.8,13.4,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,120,0,0,0,0,108,82,112,89,79,196,3,120,240,76,115,158,144,107,134,109,223,128,0,254,128,0,0
1768403029.6812992,888,10.7,13.4,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,124,0,0,0,0,107,82,112,89,79,197,3,120,240,62,115,174,143,107,134,110,45,128,0,254,128,0,0
1768403029.796936,887,10.6,13.4,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,128,0,0,0,0,106,82,112,89,79,197,3,119,240,50,115,125,142,109,134,110,93,128,0,254,128,0,0
1768403029.8777757,886,10.7,13.3,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,128,0,0,0,0,107,82,112,89,79,197,3,118,240,40,115,114,142,109,133,110,141,128,0,254,128,0,0
1768403029.9577777,886,10.8,13.4,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,128,0,0,0,0,108,82,112,89,79,197,3,118,240,32,115,103,143,108,134,110,189,128,0,254,128,0,0
1768403030.0387595,886,10.6,13.4,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,128,0,0,0,0,106,82,112,89,79,197,3,118,240,22,115,91,144,108,134,110,237,128,0,254,128,0,0
1768403030.1175497,883,10.6,13.3,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,129,0,0,0,0,106,82,112,89,79,198,3,115,240,10,115,47,143,108,133,111,29,128,0,254,128,0,0
1768403030.2140243,881,10.7,13.4,115,45.1,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,127,0,0,0,0,107,82,112,89,79,197,3,113,240,2,115,178,142,109,134,111,89,128,0,254,128,0,0
1768403030.3142188,883,10.8,13.3,116,45.5,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,122,0,0,0,0,108,82,112,89,79,197,3,115,239,246,116,202,144,108,133,111,149,128,0,254,128,0,0
1768403030.4145458,888,10.9,13.4,116,45.5,0,0,82,17.3,13.5,89,22.9,18.8,18,38,160,3,120,0,0,0,0,109,82,112,89,79,197,3,120,239,240,116,169,144,108,134,111,209,128,0,254,128,0,0
