ts,rpm,coolant_c,oil_c,iat_c,maf_kgph,vbatt_v,load_pct,thr_raw,thr2_raw,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
1768549252.7579849,0,21.0,17.278431260000005,42.0,0.0,11.8,56.078431372549026,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,143,161,160,120,118,128,0,128,0,0,0,0,0
1768549252.8859248,0,21.0,17.278431260000005,42.0,0.0,11.8,56.078431372549026,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,143,161,160,120,118,128,0,128,0,0,0,0,0
1768549253.0776763,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,32,200,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549253.2699037,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549253.4615495,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549253.5894523,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549253.7816494,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549253.973376,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549254.1652105,0,21.0,17.278431260000005,42.0,0.0,11.8,56.078431372549026,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,143,161,160,120,118,128,0,128,0,0,0,0,0
1768549254.2611427,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549254.3570762,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,32,200,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549254.4859715,0,21.0,17.278431260000005,42.0,0.0,11.8,56.078431372549026,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,143,161,160,120,118,128,0,128,0,0,0,0,0
1768549254.6929522,0,21.0,17.278431260000005,42.0,0.0,11.8,56.078431372549026,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,143,161,160,120,118,128,0,128,0,0,0,0,0
1768549254.8850555,0,21.0,17.278431260000005,42.0,0.0,11.8,56.078431372549026,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,143,161,160,120,118,128,0,128,0,0,0,0,0
1768549255.0931342,0,21.0,17.278431260000005,42.0,0.0,11.8,56.078431372549026,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,143,161,160,120,118,128,0,128,0,0,0,0,0
1768549255.2529085,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549255.3808784,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549255.5727417,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549255.764714,0,21.0,17.278431260000005,42.0,0.0,11.8,56.078431372549026,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,143,161,160,120,118,128,0,128,0,0,0,0,0
1768549255.8606746,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,33,164,144,26,160,120,118,128,0,128,0,0,0,0,0
1768549255.9566786,0,21.0,17.278431260000005,42.0,0.0,11.8,56.47058823529412,0,0,18,38,160,0,0,0,0,0,0,0,87,92,82,71,176,0,0,32,200,144,26,160,120,118,128,0,128,0,0,0,0,0
