ts,rpm,t_raw_a,t_oil_a_c,t_cool_a_c,t_raw_b,t_oil_b_c,t_cool_b_c,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
1768322479.6310499,825,121,48.3,42.8,148,69.8,63.0,18,38,160,3,148,12,0,0,0,100,121,164,148,138,213,3,57,1,80,115,28,138,118,135,128,0,128,0,153,128,0,0
1768322479.9223545,828,121,48.3,42.8,148,69.8,63.0,18,38,160,3,140,12,0,0,0,100,121,164,148,138,212,3,60,2,40,115,17,141,116,136,128,0,128,0,153,128,0,0
1768322480.209913,824,121,48.3,42.8,148,69.8,63.0,18,38,160,3,149,12,0,0,0,99,121,164,148,138,212,3,56,1,80,114,251,140,118,136,128,0,128,0,153,128,0,0
1768322480.5971472,960,121,48.3,42.8,148,69.8,63.0,18,38,160,3,175,12,12,0,0,123,121,164,148,138,192,3,192,2,40,132,41,140,111,136,128,0,128,0,153,128,0,0
1768322480.8967261,1369,121,48.3,42.8,148,69.8,63.0,18,38,160,3,186,12,23,0,0,186,121,164,148,138,185,5,89,2,40,167,10,132,111,136,128,0,128,0,153,128,0,0
1768322481.1850784,1751,121,48.3,42.8,148,69.8,63.0,18,38,160,3,238,12,24,0,0,203,121,164,148,138,178,6,215,2,40,175,16,132,112,136,128,0,128,0,153,128,0,0
1768322481.4725237,1798,121,48.3,42.8,148,69.8,63.0,18,38,160,4,52,13,26,0,0,215,121,164,148,138,178,7,6,2,40,179,247,123,103,136,128,0,128,0,153,128,0,0
1768322481.7618873,1808,121,48.3,42.8,148,69.8,63.0,18,38,160,4,131,13,28,1,0,235,121,164,148,138,172,7,16,2,40,188,108,123,102,135,128,0,128,0,153,128,0,0
1768322482.0485806,1781,121,48.3,42.8,148,69.8,63.0,18,38,160,4,210,13,29,3,0,250,121,164,148,138,169,6,245,2,40,203,112,124,91,136,128,0,128,0,153,128,0,0
1768322482.4013546,1783,122,49.1,43.5,148,69.8,63.0,18,38,160,5,66,15,32,5,1,25,122,164,148,138,164,6,247,2,40,225,115,123,80,136,128,0,128,0,153,128,0,0
1768322482.6883686,2149,122,49.1,43.5,148,69.8,63.0,18,38,160,5,210,15,38,16,1,125,122,164,148,138,155,8,101,2,40,241,73,115,86,136,128,0,128,0,153,128,0,0
1768322483.0405502,2166,122,49.1,43.5,148,69.8,63.0,18,38,160,6,145,15,38,16,1,152,122,164,148,138,151,8,118,2,40,241,249,113,87,136,128,0,128,0,153,128,0,0
1768322483.3277793,2085,122,49.1,43.5,148,69.8,63.0,18,38,160,7,25,20,38,17,1,171,122,164,148,138,145,8,37,2,40,242,76,114,86,136,128,0,128,0,153,128,0,0
1768322483.680242,1975,122,49.1,43.5,148,69.8,63.0,18,38,160,7,128,20,38,17,1,176,122,164,148,138,144,7,183,2,40,242,162,115,61,135,128,0,128,0,153,128,0,0
1768322483.9678385,1878,122,49.1,43.5,148,69.8,63.0,18,38,160,7,243,20,38,18,1,195,122,164,148,138,143,7,86,2,40,243,50,102,61,135,128,0,128,0,153,128,0,0
1768322484.320419,1836,121,48.3,42.8,148,69.8,63.0,18,38,160,8,119,26,38,18,1,206,121,164,148,139,140,7,44,2,40,243,50,102,61,135,128,0,128,0,149,128,0,0
1768322484.607652,910,121,48.3,42.8,148,69.8,63.0,18,38,160,8,49,26,0,0,0,114,121,164,148,139,213,3,142,2,40,121,146,117,73,135,128,0,128,0,149,128,0,0
1768322484.9601667,543,121,48.3,42.8,148,69.8,63.0,18,38,160,6,130,26,0,0,0,93,121,164,148,139,213,2,31,2,40,110,4,157,111,135,128,0,128,0,149,128,0,0
